,DL-全期,DL-前段,DL-後段,Baseline-全期,Baseline-前段,Baseline-後段
records_size,3694957.0,1957228.0,1737729.0,3694957.0,1957228.0,1737729.0
Total open count,3207980.0,1701821.0,1506159.0,3630006.0,1923697.0,1706309.0
Win per open,0.7241843777080904,0.7230725205529841,0.7254406739261924,0.6898779230667939,0.6879960825431448,0.6919995147420543
Lose per open,0.27581562229190953,0.2769274794470159,0.2745593260738076,0.31012207693320615,0.3120039174568552,0.30800048525794566
Win per record,0.6287404697808391,0.6287157142652772,0.6287683522574579,0.6777510536658478,0.6762094145393382,0.6794874229526008
Lose per record,0.23946449173833417,0.24079003570355625,0.23797151339478134,0.30467066328512077,0.3066587030228466,0.3024315068690227
Tie per record,0.13179503848082672,0.13049425003116652,0.1332601343477608,0.01757828304903142,0.017131882437815115,0.018081070178376492
Non Open per record,0.06817751870996062,0.06832469186012054,0.06801175557293455,0.0,0.0,0.0
Discard per record,0.0,0.0,0.0,0.0,0.0,0.0
Below Tax per record,0.050448489657660425,0.04899786841389966,0.05208234425505933,4.600865449855032e-06,3.065560067605818e-06,6.330100953600935e-06
Above Top per record,0.013169030113205648,0.013171689757146332,0.013166034519766891,0.017573682183581567,0.017128816877747508,0.01807474007742289
Normal Close per open,0.70168953671781,0.7022042858796548,0.7011079175571769,0.6503099443912765,0.6496100997194465,0.6510989510106318
Stop Loss per open,0.08294752461050256,0.08368623962214593,0.08211284465982675,0.0,0.0,0.0
Force Close per open,0.2153629386716875,0.21410947449819928,0.21677923778299635,0.3496900556087235,0.35038990028055356,0.3489010489893683
Earn amount,3728483.0455956412,2321626.93628406,1406856.1093115816,4925362.72321269,3066249.5090893134,1859113.2141233766
Loss amount,-3343047.529906574,-2098669.9494201965,-1244377.5804863782,-4347897.385893576,-2748675.6202959027,-1599221.7655976736
Total P&L,385435.51568906737,222956.98686386368,162478.52882520366,577465.3373191137,317573.8887934108,259891.4485257028
Profit per open,0.12014897714108796,0.1310108330217242,0.10787608003219026,0.1590810971990442,0.16508519210323186,0.1523120657077369
True earn amount per win count,1.6049125335245267,1.8866732786289435,1.2875881102474689,1.9667928874876421,2.316780337144437,1.5744989173318795
True Lose amount per lose count,-3.778261719063816,-4.453118096040783,-3.009159143197297,-3.862240015184234,-4.57959187054987,-3.0429835857657466
