prob_bin,n,true_revert_rate
"(0.3, 0.35]",191,0.5706806282722513
"(0.35, 0.4]",11664,0.5647290809327846
"(0.4, 0.45]",22026,0.584173249795696
"(0.45, 0.5]",32854,0.6092104462165946
"(0.5, 0.55]",46154,0.6296529011569961
"(0.55, 0.6]",60887,0.6556736249117218
"(0.6, 0.65]",78137,0.6732149941768945
"(0.65, 0.7]",101777,0.6969649331381353
"(0.7, 0.75]",144398,0.71771769692101
"(0.75, 0.8]",224308,0.7432057706368029
"(0.8, 0.85]",438353,0.7710885975458135
"(0.85, 0.9]",917137,0.8246576029535391
"(0.9, 0.95]",1600079,0.8684883683868109
"(0.95, 1.0]",16992,0.7680084745762712
