prob_bin,n_total,n_opened,true_revert_rate,win_rate_per_open,total_profit,profit_per_open,mean_win_amount,mean_lose_amount
"(0.3, 0.35]",191.0,153.0,0.5706806282722513,0.6339869281045751,114.33356185914955,0.7472781820859448,2.3140151388445895,-1.9665340465852792
"(0.35, 0.4]",11664.0,9491.0,0.5647290809327846,0.5337688336318618,484.24881447856495,0.05102189595180328,2.696681231853201,-2.9778843629581364
"(0.4, 0.45]",22026.0,18051.0,0.584173249795696,0.5257326463907817,390.45068214309345,0.021630418378100574,2.6876302708205184,-2.933671368758746
"(0.45, 0.5]",32854.0,27194.0,0.6092104462165946,0.5399352798411414,3074.2326332597877,0.11304819567771522,2.7192264790171365,-2.945581468959222
"(0.5, 0.55]",46154.0,38970.0,0.6296529011569961,0.5443931229150629,4541.867682852171,0.11654779786636313,2.7157996130235995,-2.9892323912950434
"(0.55, 0.6]",60887.0,52296.0,0.6556736249117218,0.5450703686706441,3283.0141091462383,0.06277753765385953,2.6988723235716776,-3.0956387488657238
"(0.6, 0.65]",78137.0,69113.0,0.6732149941768945,0.5532099604994719,4515.4952659224655,0.0653349625384872,2.7166112958573514,-3.2174429554029444
"(0.65, 0.7]",101777.0,92779.0,0.6969649331381353,0.56864161070932,9768.425933345603,0.10528703621881678,2.700686296195712,-3.3161185797793107
"(0.7, 0.75]",144398.0,135324.0,0.71771769692101,0.5833407230055275,21178.36872643989,0.15650120249504812,2.6596913671716576,-3.3480715770092715
"(0.75, 0.8]",224308.0,216153.0,0.7432057706368029,0.6082450856569189,24901.03051634032,0.11520094801524994,2.4378610841169377,-3.490999157487098
"(0.8, 0.85]",438353.0,430737.0,0.7710885975458135,0.642136617007594,47049.5352879323,0.10923030825754998,2.151991390414981,-3.5562234738053666
"(0.85, 0.9]",917137.0,911144.0,0.8246576029535391,0.707701526871713,126048.94004911924,0.13834140382762686,1.7975643942989568,-3.878903815451535
"(0.9, 0.95]",1600079.0,1407802.0,0.8684883683868109,0.8019373463029602,152690.09147862004,0.10845991941950647,1.1379606667236701,-4.059893285485345
"(0.95, 1.0]",16992.0,14041.0,0.7680084745762712,0.6849939463001211,3799.1236972699544,0.2705735843080945,1.7135638461371288,-2.867269585095399
