,rtop_all,top_all,rtop_opened,top_opened
mean,2.6093652271799987,6.432393538624106,2.509436550114961,6.232673987620044
std,3.5438172128980923,8.784791504469721,3.6856701212680827,9.231331453349535
min,0.0357154235243797,0.1010612323880195,0.0357154235243797,0.1010612323880195
max,383.7808532714844,2755.31787109375,383.7808532714844,2755.31787109375
1%,0.467870887517929,1.0031136274337769,0.4625039541721344,0.974973751306534
5%,0.7723792433738709,1.8205844163894656,0.7838854789733887,1.722290575504303
10%,0.994462263584137,2.476478099822998,1.0241467952728271,2.3454927444458007
25%,1.4601744413375854,3.759644269943237,1.4870485663414001,3.543595790863037
median(50%),2.211017608642578,5.605809688568115,2.176767349243164,5.378407955169678
75%,3.249943733215332,8.04471492767334,3.048296332359314,7.843022108078003
90%,4.399104499816894,11.001072311401366,3.9603171348571777,10.736370849609376
95%,5.306328678131102,13.068289184570311,4.675518417358398,12.688482475280752
99%,7.604841728210441,18.399139938354487,7.633135900497441,18.01372795104981
