,DL-全期,DL-前段,DL-後段,Baseline-全期,Baseline-前段,Baseline-後段
records_size,3694957.0,1957228.0,1737729.0,3694957.0,1957228.0,1737729.0
Total open count,3413272.0,1808657.0,1604615.0,3630006.0,1923697.0,1706309.0
Win per open,0.7250884195575389,0.7239747503257942,0.7263437023834378,0.6898779230667939,0.6879960825431448,0.6919995147420543
Lose per open,0.27491158044246106,0.2760252496742058,0.27365629761656224,0.31012207693320615,0.3120039174568552,0.30800048525794566
Win per record,0.6698113130951185,0.6690186324740909,0.6707041201476179,0.6777510536658478,0.6762094145393382,0.6794874229526008
Lose per record,0.2539536995965041,0.2550724800585318,0.252693601821688,0.30467066328512077,0.3066587030228466,0.3024315068690227
Tie per record,0.07623498730837734,0.07590888746737733,0.07660227803069408,0.01757828304903142,0.017131882437815115,0.018081070178376492
Non Open per record,0.06406515691522256,0.06412589642085643,0.0639967451771824,0.0,0.0,0.0
Discard per record,0.0,0.0,0.0,0.0,0.0,0.0
Below Tax per record,0.0020208624890627955,0.0016579570698968132,0.00242960783873665,4.600865449855032e-06,3.065560067605818e-06,6.330100953600935e-06
Above Top per record,0.010148967904091982,0.010125033976624082,0.01017592501477503,0.017573682183581567,0.017128816877747508,0.01807474007742289
Normal Close per open,0.7025300063985525,0.7030841115811345,0.7019054414921959,0.6503099443912765,0.6496100997194465,0.6510989510106318
Stop Loss per open,0.06564375766127048,0.06695796936622035,0.0641624314866806,0.0,0.0,0.0
Force Close per open,0.23182623594017704,0.22995791905264515,0.23393212702112345,0.3496900556087235,0.35038990028055356,0.3489010489893683
Earn amount,4065474.927033212,2533749.4701774456,1531725.4568557665,4925362.72321269,3066249.5090893134,1859113.2141233766
Loss amount,-3626904.2513837283,-2278870.9707991784,-1348033.2805845495,-4347897.385893576,-2748675.6202959027,-1599221.7655976736
Total P&L,438570.6756494843,254878.49937826744,183692.17627121686,577465.3373191137,317573.8887934108,259891.4485257028
Profit per open,0.12848981143298405,0.14092141261624921,0.11447741437741568,0.1590810971990442,0.16508519210323186,0.1523120657077369
True earn amount per win count,1.6426665736132553,1.9350136702892158,1.3142195010010849,1.9667928874876421,2.316780337144437,1.5744989173318795
True Lose amount per lose count,-3.8652016643971407,-4.5647259723360305,-3.069900641940798,-3.862240015184234,-4.57959187054987,-3.0429835857657466
