date,ticker,issue,severity,max_flat_run,n_extreme_jumps,n_nan,n_zero,n_negative
2018-10-19,AXON.OQ,flat_run,LOW,10.0,,,,
2018-10-22,VICI.N,flat_run,LOW,10.0,,,,
2018-10-23,AXON.OQ,flat_run,MEDIUM,20.0,,,,
2018-10-23,ENPH.OQ,flat_run,LOW,10.0,,,,
2018-10-25,AXON.OQ,flat_run,LOW,13.0,,,,
2018-10-26,AXON.OQ,flat_run,LOW,14.0,,,,
2018-10-30,AXON.OQ,flat_run,LOW,19.0,,,,
2018-10-30,GRMN.N,flat_run,LOW,10.0,,,,
2018-10-31,AXON.OQ,flat_run,LOW,14.0,,,,
2018-11-01,GRMN.N,flat_run,LOW,11.0,,,,
2018-11-02,AXON.OQ,flat_run,LOW,13.0,,,,
2018-11-05,AXON.OQ,flat_run,MEDIUM,20.0,,,,
2018-11-06,NWS.OQ,flat_run,LOW,10.0,,,,
2018-11-07,AXON.OQ,flat_run,LOW,13.0,,,,
2018-11-08,ENPH.OQ,flat_run,LOW,13.0,,,,
2018-11-08,GRMN.N,flat_run,LOW,10.0,,,,
2018-11-08,TDY.N,flat_run,LOW,10.0,,,,
2018-11-13,AXON.OQ,flat_run,LOW,11.0,,,,
2018-11-14,AXON.OQ,flat_run,LOW,19.0,,,,
2018-11-15,AXON.OQ,flat_run,LOW,19.0,,,,
2018-11-16,AXON.OQ,flat_run,MEDIUM,26.0,,,,
2018-11-19,AXON.OQ,flat_run,LOW,14.0,,,,
2018-11-19,GRMN.N,flat_run,LOW,16.0,,,,
2018-11-21,INVH.N,flat_run,LOW,14.0,,,,
2018-11-26,AXON.OQ,flat_run,LOW,18.0,,,,
2018-11-26,CPB.N,flat_run,LOW,16.0,,,,
2018-11-26,GM.N,flat_run,LOW,17.0,,,,
2018-11-26,NWS.OQ,flat_run,LOW,10.0,,,,
2018-11-26,GM.N,extreme_jump,MEDIUM,,2.0,,,
2018-11-27,AXON.OQ,flat_run,MEDIUM,21.0,,,,
2018-11-28,AXON.OQ,flat_run,MEDIUM,46.0,,,,
2018-11-28,NWSA.OQ,flat_run,LOW,16.0,,,,
2018-11-29,AXON.OQ,flat_run,MEDIUM,31.0,,,,
2018-11-29,ENPH.OQ,flat_run,LOW,10.0,,,,
2018-11-29,FI.N,flat_run,LOW,10.0,,,,
2018-11-29,GRMN.N,flat_run,LOW,17.0,,,,
2018-11-30,AXON.OQ,flat_run,MEDIUM,33.0,,,,
2018-11-30,AES.N,flat_run,LOW,10.0,,,,
2018-11-30,ENPH.OQ,flat_run,LOW,13.0,,,,
2018-12-03,AXON.OQ,flat_run,MEDIUM,29.0,,,,
2018-12-03,CTRA.N,flat_run,LOW,13.0,,,,
2018-12-03,VICI.N,flat_run,LOW,12.0,,,,
2018-12-04,AXON.OQ,flat_run,MEDIUM,37.0,,,,
